id_ubigeo,ubigeo_reniec,departamento,provincia,distrito,latitud,longitud
1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-6.2294,-77.8728
2,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,-6.0325,-77.7108
3,010103,AMAZONAS,CHACHAPOYAS,BALSAS,-6.8358,-78.0197
4,010104,AMAZONAS,CHACHAPOYAS,CHETO,-6.2556,-77.7008
5,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,-6.0783,-77.7375
6,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,-6.935,-77.8542
7,010107,AMAZONAS,CHACHAPOYAS,GRANADA,-6.1064,-77.6286
8,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,-6.1736,-77.8644
9,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,-6.4847,-77.815
10,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-6.7075,-77.8039
11,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,-6.3078,-77.8992
12,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,-6.3731,-77.9017
13,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,-6.5944,-77.8086
14,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-6.2092,-77.6692
15,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,-6.6181,-77.8022
16,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,-6.0239,-77.6764
17,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,-6.0914,-77.6786
18,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,-6.2292,-77.74
19,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,-6.3372,-77.8806
20,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,-6.2606,-77.7442
21,010121,AMAZONAS,CHACHAPOYAS,SONCHE,-6.2189,-77.7753
22,010205,AMAZONAS,BAGUA,BAGUA,-5.6389,-78.5311
23,010202,AMAZONAS,BAGUA,ARAMANGO,-5.4164,-78.4378
24,010203,AMAZONAS,BAGUA,COPALLIN,-5.675,-78.4231
25,010204,AMAZONAS,BAGUA,EL PARCO,-5.625,-78.4753
26,010206,AMAZONAS,BAGUA,IMAZA,-5.1636,-78.2889
27,010201,AMAZONAS,BAGUA,LA PECA,-5.6119,-78.4369
28,010301,AMAZONAS,BONGARA,JUMBILLA,-5.9044,-77.7978
29,010304,AMAZONAS,BONGARA,CHISQUILLA,-5.8975,-77.7861
30,010305,AMAZONAS,BONGARA,CHURUJA,-6.0194,-77.9519
31,010302,AMAZONAS,BONGARA,COROSHA,-5.8433,-77.8225
32,010303,AMAZONAS,BONGARA,CUISPES,-5.9283,-77.9461
33,010306,AMAZONAS,BONGARA,FLORIDA,-5.8261,-77.9694
34,010312,AMAZONAS,BONGARA,JAZAN,-5.9414,-77.9772
35,010307,AMAZONAS,BONGARA,RECTA,-5.9178,-77.7889
36,010308,AMAZONAS,BONGARA,SAN CARLOS,-5.9661,-77.9453
37,010309,AMAZONAS,BONGARA,SHIPASBAMBA,-5.9106,-77.9806
38,010310,AMAZONAS,BONGARA,VALERA,-6.0428,-77.9192
39,010311,AMAZONAS,BONGARA,YAMBRASBAMBA,-5.7353,-77.925
40,010601,AMAZONAS,CONDORCANQUI,NIEVA,-4.5922,-77.8644
41,010603,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.4556,-78.1589
42,010602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-4.0158,-77.7608
43,010401,AMAZONAS,LUYA,LAMUD,-6.1392,-77.9522
44,010402,AMAZONAS,LUYA,CAMPORREDONDO,-6.2133,-78.32
45,010403,AMAZONAS,LUYA,COCABAMBA,-6.6142,-78.005
46,010404,AMAZONAS,LUYA,COLCAMAR,-6.2994,-77.9731
47,010405,AMAZONAS,LUYA,CONILA,-6.1592,-78.1419
48,010406,AMAZONAS,LUYA,INGUILPATA,-6.2394,-77.9539
49,010407,AMAZONAS,LUYA,LONGUITA,-6.4136,-77.9683
50,010408,AMAZONAS,LUYA,LONYA CHICO,-6.2297,-77.955
51,010409,AMAZONAS,LUYA,LUYA,-6.1642,-77.9442
52,010410,AMAZONAS,LUYA,LUYA VIEJO,-6.1275,-78.085
53,010411,AMAZONAS,LUYA,MARIA,-6.4289,-77.9608
54,010412,AMAZONAS,LUYA,OCALLI,-6.2353,-78.2664
55,010413,AMAZONAS,LUYA,OCUMAL,-6.2825,-78.2108
56,010414,AMAZONAS,LUYA,PISUQUIA,-6.4533,-78.0919
57,010423,AMAZONAS,LUYA,PROVIDENCIA,-6.2972,-78.2408
58,010415,AMAZONAS,LUYA,SAN CRISTOBAL,-6.1017,-77.9597
59,010416,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,-6.6469,-77.8117
60,010417,AMAZONAS,LUYA,SAN JERONIMO,-6.0597,-77.9744
61,010418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,-6.4964,-77.8619
62,010419,AMAZONAS,LUYA,SANTA CATALINA,-6.1136,-78.0608
63,010420,AMAZONAS,LUYA,SANTO TOMAS,-6.5725,-77.8658
64,010421,AMAZONAS,LUYA,TINGO,-6.3797,-77.9058
65,010422,AMAZONAS,LUYA,TRITA,-6.1519,-77.9808
66,010501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,-6.3953,-77.4822
67,010503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,-6.5231,-77.4425
68,010502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,-6.4075,-77.5853
69,010504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,-6.4311,-77.5367
70,010505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,-6.4981,-77.4989
71,010506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,-6.3858,-77.5467
72,010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,-6.3861,-77.5044
73,010507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,-6.5,-77.4364
74,010509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,-6.4678,-77.3956
75,010510,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,-6.4536,-77.4553
76,010511,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,-6.4931,-77.4717
77,010512,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,-6.1508,-77.3039
78,010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.7547,-78.4428
79,010702,AMAZONAS,UTCUBAMBA,CAJARURO,-5.7364,-78.4267
80,010703,AMAZONAS,UTCUBAMBA,CUMBA,-5.9356,-78.6636
81,010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,-5.6378,-78.5583
82,010705,AMAZONAS,UTCUBAMBA,JAMALCA,-5.8942,-78.2378
83,010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,-6.0964,-78.4225
84,010707,AMAZONAS,UTCUBAMBA,YAMON,-6.0508,-78.5289
85,020101,ANCASH,HUARAZ,HUARAZ,-9.5297,-77.5292
86,020103,ANCASH,HUARAZ,COCHABAMBA,-9.495,-77.8594
87,020104,ANCASH,HUARAZ,COLCABAMBA,-9.5947,-77.8086
88,020105,ANCASH,HUARAZ,HUANCHAY,-9.7236,-77.8186
89,020102,ANCASH,HUARAZ,INDEPENDENCIA,-9.5144,-77.5325
90,020106,ANCASH,HUARAZ,JANGAS,-9.4006,-77.5775
