,Titulos,Enlaces,Precio
0,Tv Hyundai 32  Led Hd Smart Tv Hyled3248aim,https://articulo.mercadolibre.com.pe/MPE-604485679-tv-hyundai-32-led-hd-smart-tv-hyled3248aim-_JM#position=1&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,599
1,Tv Hyundai 32  Led Hd Smart Tv Hyled3248aim,https://articulo.mercadolibre.com.pe/MPE-604478988-tv-hyundai-32-led-hd-smart-tv-hyled3248aim-_JM#position=2&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,599
2,Televisor Xiaomi 32  Hd P1 L32m6 Mtk,https://articulo.mercadolibre.com.pe/MPE-609352058-televisor-xiaomi-32-hd-p1-l32m6-mtk-_JM#position=3&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,699
3,Tv 32 Jvc Smart Tv Digital Wifi Led Nuevo Modelo ,https://articulo.mercadolibre.com.pe/MPE-435894813-tv-32-jvc-smart-tv-digital-wifi-led-nuevo-modelo-_JM#position=4&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,799
4,Xiaomi Mi Led Tv 4a 32 Pulgadas Versión Europea,https://articulo.mercadolibre.com.pe/MPE-441357078-xiaomi-mi-led-tv-4a-32-pulgadas-version-europea-_JM#position=5&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,729
5,Tv LG 32 Hdr Smart Wifi Nuevo Modelo Sellados ,https://articulo.mercadolibre.com.pe/MPE-432051219-tv-lg-32-hdr-smart-wifi-nuevo-modelo-sellados-_JM#position=6&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.099
6,Control Remoto Aoc Led Original (nuevo),https://articulo.mercadolibre.com.pe/MPE-433446116-control-remoto-aoc-led-original-nuevo-_JM#position=7&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,22
7,Tv Led A4h 32 Hd Smart Hisense,https://articulo.mercadolibre.com.pe/MPE-614533743-tv-led-a4h-32-hd-smart-hisense-_JM#position=8&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,699
8,Tv LG 32 Smart 2k 2019 Ips Bluetooth Webos 4.5 Wifi Netflix ,https://articulo.mercadolibre.com.pe/MPE-436863735-tv-lg-32-smart-2k-2019-ips-bluetooth-webos-45-wifi-netflix-_JM#position=9&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.099
9,Tv 32 Samsung Smart Wifi Modelo Nuevo Sellados ,https://articulo.mercadolibre.com.pe/MPE-432193806-tv-32-samsung-smart-wifi-modelo-nuevo-sellados-_JM#position=10&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,999
10,Televisor 32 Pulgadas Smart Android Tv Nuevo Sellado Garanti,https://articulo.mercadolibre.com.pe/MPE-446396726-televisor-32-pulgadas-smart-android-tv-nuevo-sellado-garanti-_JM#position=11&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,869
11,Televisor Smart Tv Hd Philips 32 32phd6825  Negro,https://articulo.mercadolibre.com.pe/MPE-613051545-televisor-smart-tv-hd-philips-32-32phd6825-negro-_JM#position=12&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,799
12,Televisor Xiaomi Mi Led Tv 4a 32 Smart Hd Android Tv,https://articulo.mercadolibre.com.pe/MPE-614643156-televisor-xiaomi-mi-led-tv-4a-32-smart-hd-android-tv-_JM#position=13&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,989
13,Tv Led Smart 32 Nuevo Modelo Sellados ,https://articulo.mercadolibre.com.pe/MPE-432506178-tv-led-smart-32-nuevo-modelo-sellados-_JM#position=14&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,650
14,Televisor Xiaomi 32  Hd P1 L32m6 Mtk,https://articulo.mercadolibre.com.pe/MPE-609352078-televisor-xiaomi-32-hd-p1-l32m6-mtk-_JM#position=15&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,699
15,Aiwa 32  Android Tv Hd Smart,https://articulo.mercadolibre.com.pe/MPE-614604673-aiwa-32-android-tv-hd-smart-_JM#position=16&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,649
16,Televisor Led Samsung Smart Tv Hd 32  Un32t4300 Nuevo,https://articulo.mercadolibre.com.pe/MPE-608474626-televisor-led-samsung-smart-tv-hd-32-un32t4300-nuevo-_JM#position=17&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.159
17,Tv Hyundai Hyled3236d Hd Led 32,https://articulo.mercadolibre.com.pe/MPE-440503189-tv-hyundai-hyled3236d-hd-led-32-_JM#position=18&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,999
18,Televisor Led Jvc Smart Tv Webos De 32  Lt-32kb116 Nuevo,https://articulo.mercadolibre.com.pe/MPE-608304605-televisor-led-jvc-smart-tv-webos-de-32-lt-32kb116-nuevo-_JM#position=19&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,797
